Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
"Parade" de Satie                                                                                   - 4.00  - 1 episode(s)       - 14 min.               - Music, Dementia                                                                                                                                                - https://myanimelist.net/anime/34595
.hack//Gift                                                                                         - 6.31  - 1 episode(s)       - 26 min.               - Comedy, Fantasy, Game                                                                                                                                          - https://myanimelist.net/anime/454
.hack//Intermezzo                                                                                   - 6.66  - 1 episode(s)       - 24 min.               - Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi                                                                                                               - https://myanimelist.net/anime/1143
.hack//Liminality                                                                                   - 6.70  - 4 episode(s)       - 33 min. per ep.       - Game, Mystery, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/299
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!                                               - 6.62  - 3 episode(s)       - 3 min. per ep.        - Game, Comedy                                                                                                                                                   - https://myanimelist.net/anime/10390
.hack//Quantum                                                                                      - 7.30  - 3 episode(s)       - 26 min. per ep.       - Action, Adventure, Fantasy, Game, Sci-Fi                                                                                                                       - https://myanimelist.net/anime/9332
.hack//Roots                                                                                        - 7.03  - 26 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Game, Drama, Sci-Fi                                                                                                                        - https://myanimelist.net/anime/873
.hack//Sign                                                                                         - 7.10  - 26 episode(s)      - 24 min. per ep.       - Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy                                                                                                               - https://myanimelist.net/anime/48
.hack//Unison                                                                                       - 6.80  - 1 episode(s)       - 24 min.               - Adventure, Comedy, Fantasy, Game, Magic, Sci-Fi                                                                                                                - https://myanimelist.net/anime/1487
1/100 Rice Planting                                                                                 - 4.19  - 1 episode(s)       - 9 min.                - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/36745
1/100 Shibuya Crossing                                                                              - 4.57  - 1 episode(s)       - 2 min.                - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/36746
1/100 Train Station                                                                                 - 5.46  - 1 episode(s)       - 2 min.                - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/36747
123                                                                                                 - 3.55  - 1 episode(s)       - 2 min.                - Kids, Music                                                                                                                                                    - https://myanimelist.net/anime/37065
21 Seiki wa Minna ga Shuyaku                                                                        - 7.50  - 1 episode(s)       - 23 min.               - Drama                                                                                                                                                          - https://myanimelist.net/anime/35242
